TM,Tm,H,VV,V,_Autumn,_Spring,_Summer,_Winter,aqi_level
35,23,64,2,8,1,0,0,0,3
34,25,63,2,5,1,0,0,0,3
35,22,53,3,10,1,0,0,0,3
36,21,57,3,7,1,0,0,0,3
36,23,53,3,10,1,0,0,0,3
35,21,57,2,6,1,0,0,0,3
36,20,44,4,7,1,0,0,0,3
36,20,45,3,8,1,0,0,0,3
34,21,32,3,10,1,0,0,0,3
37,18,40,3,11,1,0,0,0,3
35,23,60,3,9,1,0,0,0,2
35,23,63,3,6,1,0,0,0,3
33,22,55,3,7,1,0,0,0,3
35,20,56,2,6,0,0,0,1,3
35,20,55,2,8,0,0,0,1,3
34,19,47,2,8,0,0,0,1,3
35,18,40,3,7,0,0,0,1,3
34,17,44,2,8,0,0,0,1,3
33,17,51,2,7,0,0,0,1,3
31,17,42,3,6,0,0,0,1,3
32,18,51,2,6,0,0,0,1,3
33,21,54,2,6,0,0,0,1,3
33,17,53,2,7,0,0,0,1,3
31,17,58,2,5,0,0,0,1,4
31,16,44,2,7,0,0,0,1,3
32,18,28,2,15,0,0,0,1,3
32,16,28,2,10,0,0,0,1,3
34,14,33,2,7,0,0,0,1,3
32,13,49,2,6,0,0,0,1,3
32,19,52,1,7,0,0,0,1,4
32,18,50,2,6,0,0,0,1,4
32,17,41,2,7,0,0,0,1,3
29,18,59,2,5,0,0,0,1,3
28,17,62,2,8,0,0,0,1,4
27,17,63,2,7,0,0,0,1,3
28,15,39,3,9,0,0,0,1,2
29,12,39,2,10,0,0,0,1,3
31,15,33,2,11,0,0,0,1,3
31,15,40,3,6,0,0,0,1,3
29,13,50,3,9,0,0,0,1,3
29,15,58,2,8,0,0,0,1,3
31,18,60,2,7,0,0,0,1,3
32,18,53,2,7,0,0,0,1,3
33,17,50,2,8,0,0,0,1,3
32,15,46,3,6,0,0,0,1,3
28,16,62,4,9,0,0,0,1,2
29,15,62,3,8,0,0,0,1,2
30,17,65,2,8,0,0,0,1,4
28,16,61,3,10,0,0,0,1,2
31,16,41,2,9,0,0,0,1,2
31,16,42,2,8,0,0,0,1,3
30,20,68,3,7,0,0,0,1,2
31,21,57,3,10,0,0,0,1,2
32,21,39,3,9,0,0,0,1,3
30,19,66,2,8,0,0,0,1,2
31,18,66,2,6,0,0,0,1,3
34,20,62,1,7,0,0,0,1,4
35,20,59,2,7,0,1,0,0,3
34,23,61,2,8,0,1,0,0,3
36,24,46,2,10,0,1,0,0,3
33,20,50,3,9,0,1,0,0,2
35,21,43,3,11,0,1,0,0,2
34,22,49,3,11,0,1,0,0,2
31,22,66,5,10,0,1,0,0,1
30,20,66,4,10,0,1,0,0,1
31,22,56,3,10,0,1,0,0,1
37,23,44,3,10,0,1,0,0,2
32,24,77,3,10,0,1,0,0,2
32,23,71,3,8,0,1,0,0,2
36,23,53,3,8,0,1,0,0,3
33,22,68,3,10,0,1,0,0,2
32,23,73,3,11,0,1,0,0,1
31,23,75,3,10,0,1,0,0,1
31,23,74,3,9,0,1,0,0,2
34,23,55,3,10,0,1,0,0,1
37,24,43,3,11,0,1,0,0,2
35,25,52,4,11,0,1,0,0,2
32,23,73,3,11,0,1,0,0,1
34,22,68,3,10,0,1,0,0,2
34,22,65,3,11,0,1,0,0,2
34,25,66,3,10,0,1,0,0,2
32,26,72,3,10,0,1,0,0,2
32,25,74,4,11,0,1,0,0,2
32,24,68,4,9,0,1,0,0,1
33,22,69,4,10,0,1,0,0,1
